date,roll_yield,near_by,deferred
2017-07-13,0.10108153735941794,TA709,TA801
2017-07-14,0.1436444586996419,TA709,TA801
2017-07-17,0.15757046093982352,TA709,TA801
2017-07-18,0.1686092896756725,TA709,TA801
2017-07-19,0.15048747477635824,TA709,TA801
2017-07-20,0.050363639888396705,TA709,TA801
2017-07-21,0.04029997273824738,TA709,TA801
2017-07-24,0.04985621988343998,TA709,TA801
2017-07-25,0.030104459487981416,TA709,TA801
2017-07-26,-0.006979452547030616,TA709,TA801
2017-07-27,0.0160919926067416,TA709,TA801
2017-07-28,0.008131660351373998,TA709,TA801
2017-07-31,-0.014951152279718185,TA709,TA801
2017-08-01,-0.031220169983789244,TA709,TA801
2017-08-02,-0.043082440383602746,TA709,TA801
2017-08-03,-0.048914127074830706,TA709,TA801
2017-08-04,-0.05443113993908061,TA709,TA801
2017-08-07,-0.045464246838539335,TA709,TA801
2017-08-08,-0.06272005445794114,TA709,TA801
2017-08-09,-0.0827955960319666,TA709,TA801
2017-08-10,-0.07569208852868764,TA709,TA801
2017-08-11,-0.06431741179299438,TA709,TA801
2017-08-14,-0.061618132023051275,TA709,TA801
2017-08-15,-0.06866913853531788,TA709,TA801
2017-08-16,-0.09923199934959875,TA709,TA801
2017-08-17,-0.09385045660264049,TA709,TA801
2017-08-18,-0.0944588065229845,TA709,TA801
2017-08-21,-0.09249513129417869,TA709,TA801
2017-08-22,-0.08679486760201618,TA709,TA801
2017-08-23,-0.085720117332168,TA709,TA801
2017-08-24,-0.08699579444153788,TA709,TA801
2017-08-25,0.024952884879294337,TA801,TA805
2017-08-28,0.02622095354743996,TA801,TA805
2017-08-29,0.028533599160128653,TA801,TA805
2017-08-30,0.041018489370006794,TA801,TA805
2017-08-31,0.04442837986071719,TA801,TA805
2017-09-01,0.06204394851085013,TA801,TA805
2017-09-04,0.028042828981302902,TA801,TA805
2017-09-05,0.017903820389836955,TA801,TA805
2017-09-06,0.01017525000336265,TA801,TA805
2017-09-07,0.009073730924812402,TA801,TA805
2017-09-08,0.017087572303172073,TA801,TA805
2017-09-11,0.007992392928939232,TA801,TA805
2017-09-12,0.020446879605180282,TA801,TA805
2017-09-13,0.011463521781970378,TA801,TA805
2017-09-14,0.016012237784162817,TA801,TA805
2017-09-15,0.022918369673872844,TA801,TA805
2017-09-18,0.021801587629536996,TA801,TA805
2017-09-19,0.03887249509089157,TA801,TA805
2017-09-20,0.048892497736796756,TA801,TA805
2017-09-21,0.050537182828928814,TA801,TA805
2017-09-22,0.06395369710364678,TA801,TA805
2017-09-25,0.06136577598420519,TA801,TA805
2017-09-26,0.04318256375884054,TA801,TA805
2017-09-27,0.03868085441103079,TA801,TA805
2017-09-28,0.05083865501837298,TA801,TA805
2017-09-29,0.04463668876938202,TA801,TA805
