date,var,仓库编号,仓库简称,类别,仓单数量,当日增减,有效预报,升贴水,提货点,产地
2017-01-09,RM,1006,中粮黄冈,,0,0,,0,,
2017-01-09,RM,1007,湖北宏凯,,0,0,,0,,
2017-01-09,RM,1008,中粮荆州,,0,0,,0,,
2017-01-09,RM,1010,中纺四川,,0,0,,-100,,
2017-01-09,RM,1012,中纺湛江,,0,0,,-50,,
2017-01-09,RM,1013,中粮钦州,,0,0,,-100,,
2017-01-09,RM,1014,厦门银祥,MAR,2000,0,,0,,
2017-01-09,RM,小计,,,2000,0,0,,,
2017-01-09,RM,1015,东莞富之源,MAR,600,0,,0,,
2017-01-09,RM,小计,,,600,0,0,,,
2017-01-09,RM,1016,大海粮油,,0,0,,-100,,
2017-01-09,RM,1017,福州集佳,MAR,2500,1600,,0,,
2017-01-09,RM,小计,,,2500,1600,0,,,
2017-01-09,RM,1018,中纺福建,,0,0,,0,,
2017-01-09,RM,1019,枫叶粮油,,0,0,,-100,,
2017-01-09,RM,总计,,,5100,1600,0,,,
2017-01-10,RM,0607,中粮祥瑞,,0,0,,0,,
2017-01-10,RM,1001,靖江龙威,,0,0,,0,,
2017-01-10,RM,1002,南通粮油,,0,0,,0,,
2017-01-10,RM,1003,益海盐城,,0,0,,0,,
2017-01-10,RM,1004,益海安徽,,0,0,,0,,
2017-01-10,RM,1005,中粮巢湖,,0,0,,0,,
2017-01-10,RM,1006,中粮黄冈,,0,0,,0,,
2017-01-10,RM,1007,湖北宏凯,,0,0,,0,,
2017-01-10,RM,1008,中粮荆州,,0,0,,0,,
2017-01-10,RM,1010,中纺四川,,0,0,,-100,,
2017-01-10,RM,1012,中纺湛江,,0,0,,-50,,
2017-01-10,RM,1013,中粮钦州,,0,0,,-100,,
2017-01-10,RM,1014,厦门银祥,MAR,2000,0,,0,,
2017-01-10,RM,小计,,,2000,0,0,,,
2017-01-10,RM,1015,东莞富之源,MAR,600,0,,0,,
2017-01-10,RM,小计,,,600,0,0,,,
2017-01-10,RM,1016,大海粮油,,0,0,,-100,,
2017-01-10,RM,1017,福州集佳,MAR,2500,0,,0,,
2017-01-10,RM,小计,,,2500,0,0,,,
2017-01-10,RM,1018,中纺福建,,0,0,,0,,
2017-01-10,RM,1019,枫叶粮油,,0,0,,-100,,
2017-01-10,RM,总计,,,5100,0,0,,,
2017-01-11,RM,0607,中粮祥瑞,,0,0,,0,,
2017-01-11,RM,1001,靖江龙威,,0,0,,0,,
2017-01-11,RM,1002,南通粮油,,0,0,,0,,
2017-01-11,RM,1003,益海盐城,,0,0,,0,,
2017-01-11,RM,1004,益海安徽,,0,0,,0,,
2017-01-11,RM,1005,中粮巢湖,,0,0,,0,,
2017-01-11,RM,1006,中粮黄冈,,0,0,,0,,
2017-01-11,RM,1007,湖北宏凯,,0,0,,0,,
2017-01-11,RM,1008,中粮荆州,,0,0,,0,,
2017-01-11,RM,1010,中纺四川,,0,0,,-100,,
2017-01-11,RM,1012,中纺湛江,,0,0,,-50,,
2017-01-11,RM,1013,中粮钦州,,0,0,,-100,,
2017-01-11,RM,1014,厦门银祥,MAR,2000,0,,0,,
2017-01-11,RM,小计,,,2000,0,0,,,
2017-01-11,RM,1015,东莞富之源,MAR,600,0,,0,,
2017-01-11,RM,小计,,,600,0,0,,,
2017-01-11,RM,1016,大海粮油,,0,0,,-100,,
2017-01-11,RM,1017,福州集佳,MAR,2500,0,,0,,
2017-01-11,RM,小计,,,2500,0,0,,,
2017-01-11,RM,1018,中纺福建,,0,0,,0,,
2017-01-11,RM,1019,枫叶粮油,,0,0,,-100,,
2017-01-11,RM,总计,,,5100,0,0,,,
2017-01-12,RM,0607,中粮祥瑞,,0,0,,0,,
2017-01-12,RM,1001,靖江龙威,,0,0,,0,,
2017-01-12,RM,1002,南通粮油,,0,0,,0,,
2017-01-12,RM,1003,益海盐城,,0,0,,0,,
2017-01-12,RM,1004,益海安徽,,0,0,,0,,
2017-01-12,RM,1005,中粮巢湖,,0,0,,0,,
2017-01-12,RM,1006,中粮黄冈,,0,0,,0,,
2017-01-12,RM,1007,湖北宏凯,,0,0,,0,,
2017-01-12,RM,1008,中粮荆州,,0,0,,0,,
2017-01-12,RM,1010,中纺四川,,0,0,,-100,,
2017-01-12,RM,1012,中纺湛江,,0,0,,-50,,
2017-01-12,RM,1013,中粮钦州,,0,0,,-100,,
2017-01-12,RM,1014,厦门银祥,MAR,2000,0,,0,,
2017-01-12,RM,小计,,,2000,0,0,,,
2017-01-12,RM,1015,东莞富之源,MAR,600,0,,0,,
2017-01-12,RM,小计,,,600,0,0,,,
2017-01-12,RM,1016,大海粮油,,0,0,,-100,,
2017-01-12,RM,1017,福州集佳,MAR,2470,-30,,0,,
2017-01-12,RM,小计,,,2470,-30,0,,,
2017-01-12,RM,1018,中纺福建,,0,0,,0,,
2017-01-12,RM,1019,枫叶粮油,,0,0,,-100,,
2017-01-12,RM,总计,,,5070,-30,0,,,
2017-01-13,RM,0607,中粮祥瑞,,0,0,,0,,
2017-01-13,RM,1001,靖江龙威,,0,0,,0,,
2017-01-13,RM,1002,南通粮油,,0,0,,0,,
2017-01-13,RM,1003,益海盐城,,0,0,,0,,
2017-01-13,RM,1004,益海安徽,,0,0,,0,,
2017-01-13,RM,1005,中粮巢湖,,0,0,,0,,
2017-01-13,RM,1006,中粮黄冈,,0,0,,0,,
2017-01-13,RM,1007,湖北宏凯,,0,0,,0,,
2017-01-13,RM,1008,中粮荆州,,0,0,,0,,
2017-01-13,RM,1010,中纺四川,,0,0,,-100,,
2017-01-13,RM,1012,中纺湛江,,0,0,,-50,,
2017-01-13,RM,1013,中粮钦州,,0,0,,-100,,
2017-01-13,RM,1014,厦门银祥,MAR,2000,0,,0,,
2017-01-13,RM,小计,,,2000,0,0,,,
2017-01-13,RM,1015,东莞富之源,MAR,600,0,,0,,
2017-01-13,RM,小计,,,600,0,0,,,
2017-01-13,RM,1016,大海粮油,,0,0,,-100,,
2017-01-13,RM,1017,福州集佳,MAR,2470,0,,0,,
2017-01-13,RM,小计,,,2470,0,0,,,
2017-01-13,RM,1018,中纺福建,,0,0,,0,,
2017-01-13,RM,1019,枫叶粮油,,0,0,,-100,,
2017-01-13,RM,总计,,,5070,0,0,,,
2017-01-16,RM,0607,中粮祥瑞,,0,0,,0,,
2017-01-16,RM,1001,靖江龙威,,0,0,,0,,
2017-01-16,RM,1002,南通粮油,,0,0,,0,,
2017-01-16,RM,1003,益海盐城,,0,0,,0,,
2017-01-16,RM,1004,益海安徽,,0,0,,0,,
2017-01-16,RM,1005,中粮巢湖,,0,0,,0,,
2017-01-16,RM,1006,中粮黄冈,,0,0,,0,,
2017-01-16,RM,1007,湖北宏凯,,0,0,,0,,
2017-01-16,RM,1008,中粮荆州,,0,0,,0,,
2017-01-16,RM,1010,中纺四川,,0,0,,-100,,
2017-01-16,RM,1012,中纺湛江,,0,0,,-50,,
2017-01-16,RM,1013,中粮钦州,,0,0,,-100,,
2017-01-16,RM,1014,厦门银祥,MAR,1950,-50,,0,,
2017-01-16,RM,小计,,,1950,-50,0,,,
2017-01-16,RM,1015,东莞富之源,MAR,600,0,,0,,
2017-01-16,RM,小计,,,600,0,0,,,
2017-01-16,RM,1016,大海粮油,,0,0,,-100,,
2017-01-16,RM,1017,福州集佳,MAR,2470,0,,0,,
2017-01-16,RM,小计,,,2470,0,0,,,
2017-01-16,RM,1018,中纺福建,,0,0,,0,,
2017-01-16,RM,1019,枫叶粮油,,0,0,,-100,,
2017-01-16,RM,总计,,,5020,-50,0,,,
2017-01-17,RM,0607,中粮祥瑞,,0,0,,0,,
2017-01-17,RM,1001,靖江龙威,,0,0,,0,,
2017-01-17,RM,1002,南通粮油,,0,0,,0,,
2017-01-17,RM,1003,益海盐城,,0,0,,0,,
2017-01-17,RM,1004,益海安徽,,0,0,,0,,
2017-01-17,RM,1005,中粮巢湖,,0,0,,0,,
2017-01-17,RM,1006,中粮黄冈,,0,0,,0,,
2017-01-17,RM,1007,湖北宏凯,,0,0,,0,,
2017-01-17,RM,1008,中粮荆州,,0,0,,0,,
2017-01-17,RM,1010,中纺四川,,0,0,,-100,,
2017-01-17,RM,1012,中纺湛江,,0,0,,-50,,
2017-01-17,RM,1013,中粮钦州,,0,0,,-100,,
2017-01-17,RM,1014,厦门银祥,MAR,1950,0,,0,,
2017-01-17,RM,小计,,,1950,0,0,,,
2017-01-17,RM,1015,东莞富之源,MAR,600,0,,0,,
2017-01-17,RM,小计,,,600,0,0,,,
2017-01-17,RM,1016,大海粮油,,0,0,,-100,,
2017-01-17,RM,1017,福州集佳,MAR,2470,0,,0,,
2017-01-17,RM,小计,,,2470,0,0,,,
2017-01-17,RM,1018,中纺福建,,0,0,,0,,
2017-01-17,RM,1019,枫叶粮油,,0,0,,-100,,
2017-01-17,RM,总计,,,5020,0,0,,,
2017-01-18,RM,0607,中粮祥瑞,,0,0,,0,,
2017-01-18,RM,1001,靖江龙威,,0,0,,0,,
2017-01-18,RM,1002,南通粮油,,0,0,,0,,
2017-01-18,RM,1003,益海盐城,,0,0,,0,,
2017-01-18,RM,1004,益海安徽,,0,0,,0,,
2017-01-18,RM,1005,中粮巢湖,,0,0,,0,,
2017-01-18,RM,1006,中粮黄冈,,0,0,,0,,
2017-01-18,RM,1007,湖北宏凯,,0,0,,0,,
2017-01-18,RM,1008,中粮荆州,,0,0,,0,,
2017-01-18,RM,1010,中纺四川,,0,0,,-100,,
2017-01-18,RM,1012,中纺湛江,,0,0,,-50,,
2017-01-18,RM,1013,中粮钦州,,0,0,,-100,,
2017-01-18,RM,1014,厦门银祥,MAR,1824,-126,,0,,
2017-01-18,RM,小计,,,1824,-126,0,,,
2017-01-18,RM,1015,东莞富之源,,0,-600,,0,,
2017-01-18,RM,小计,,,0,-600,0,,,
2017-01-18,RM,1016,大海粮油,,0,0,,-100,,
2017-01-18,RM,1017,福州集佳,MAR,2428,-42,,0,,
2017-01-18,RM,小计,,,2428,-42,0,,,
2017-01-18,RM,1018,中纺福建,,0,0,,0,,
2017-01-18,RM,1019,枫叶粮油,,0,0,,-100,,
2017-01-18,RM,总计,,,4252,-768,0,,,
2017-01-19,RM,0607,中粮祥瑞,,0,0,,0,,
2017-01-19,RM,1001,靖江龙威,,0,0,,0,,
2017-01-19,RM,1002,南通粮油,,0,0,,0,,
2017-01-19,RM,1003,益海盐城,,0,0,,0,,
2017-01-19,RM,1004,益海安徽,,0,0,,0,,
2017-01-19,RM,1005,中粮巢湖,,0,0,,0,,
2017-01-19,RM,1006,中粮黄冈,,0,0,,0,,
2017-01-19,RM,1007,湖北宏凯,,0,0,,0,,
2017-01-19,RM,1008,中粮荆州,,0,0,,0,,
2017-01-19,RM,1010,中纺四川,,0,0,,-100,,
2017-01-19,RM,1012,中纺湛江,,0,0,,-50,,
2017-01-19,RM,1013,中粮钦州,,0,0,,-100,,
2017-01-19,RM,1014,厦门银祥,MAR,1781,-43,,0,,
2017-01-19,RM,小计,,,1781,-43,0,,,
2017-01-19,RM,1015,东莞富之源,,0,0,,0,,
2017-01-19,RM,1016,大海粮油,,0,0,,-100,,
2017-01-19,RM,1017,福州集佳,MAR,2408,-20,,0,,
2017-01-19,RM,小计,,,2408,-20,0,,,
2017-01-19,RM,1018,中纺福建,,0,0,,0,,
2017-01-19,RM,1019,枫叶粮油,,0,0,,-100,,
2017-01-19,RM,总计,,,4189,-63,0,,,
2017-01-20,RM,0607,中粮祥瑞,,0,0,,0,,
2017-01-20,RM,1001,靖江龙威,,0,0,,0,,
2017-01-20,RM,1002,南通粮油,,0,0,,0,,
2017-01-20,RM,1003,益海盐城,,0,0,,0,,
2017-01-20,RM,1004,益海安徽,,0,0,,0,,
2017-01-20,RM,1005,中粮巢湖,,0,0,,0,,
2017-01-20,RM,1006,中粮黄冈,,0,0,,0,,
2017-01-20,RM,1007,湖北宏凯,,0,0,,0,,
2017-01-20,RM,1008,中粮荆州,,0,0,,0,,
2017-01-20,RM,1010,中纺四川,,0,0,,-100,,
2017-01-20,RM,1012,中纺湛江,,0,0,,-50,,
2017-01-20,RM,1013,中粮钦州,,0,0,,-100,,
2017-01-20,RM,1014,厦门银祥,MAR,1681,-100,,0,,
2017-01-20,RM,小计,,,1681,-100,0,,,
2017-01-20,RM,1015,东莞富之源,,0,0,,0,,
2017-01-20,RM,1016,大海粮油,,0,0,,-100,,
2017-01-20,RM,1017,福州集佳,MAR,2408,0,,0,,
2017-01-20,RM,小计,,,2408,0,0,,,
2017-01-20,RM,1018,中纺福建,,0,0,,0,,
2017-01-20,RM,1019,枫叶粮油,,0,0,,-100,,
2017-01-20,RM,总计,,,4089,-100,0,,,
2017-01-23,RM,0607,中粮祥瑞,,0,0,,0,,
2017-01-23,RM,1001,靖江龙威,,0,0,,0,,
2017-01-23,RM,1002,南通粮油,,0,0,,0,,
2017-01-23,RM,1003,益海盐城,,0,0,,0,,
2017-01-23,RM,1004,益海安徽,,0,0,,0,,
2017-01-23,RM,1005,中粮巢湖,,0,0,,0,,
2017-01-23,RM,1006,中粮黄冈,,0,0,,0,,
2017-01-23,RM,1007,湖北宏凯,,0,0,,0,,
2017-01-23,RM,1008,中粮荆州,,0,0,,0,,
2017-01-23,RM,1010,中纺四川,,0,0,,-100,,
2017-01-23,RM,1012,中纺湛江,,0,0,,-50,,
2017-01-23,RM,1013,中粮钦州,,0,0,,-100,,
2017-01-23,RM,1014,厦门银祥,MAR,1681,0,,0,,
2017-01-23,RM,小计,,,1681,0,0,,,
2017-01-23,RM,1015,东莞富之源,,0,0,,0,,
2017-01-23,RM,1016,大海粮油,,0,0,,-100,,
2017-01-23,RM,1017,福州集佳,MAR,2408,0,,0,,
2017-01-23,RM,小计,,,2408,0,0,,,
2017-01-23,RM,1018,中纺福建,,0,0,,0,,
2017-01-23,RM,1019,枫叶粮油,,0,0,,-100,,
2017-01-23,RM,总计,,,4089,0,0,,,
2017-01-24,RM,0607,中粮祥瑞,,0,0,,0,,
2017-01-24,RM,1001,靖江龙威,,0,0,,0,,
2017-01-24,RM,1002,南通粮油,,0,0,,0,,
2017-01-24,RM,1003,益海盐城,,0,0,,0,,
2017-01-24,RM,1004,益海安徽,,0,0,,0,,
2017-01-24,RM,1005,中粮巢湖,,0,0,,0,,
2017-01-24,RM,1006,中粮黄冈,,0,0,,0,,
2017-01-24,RM,1007,湖北宏凯,,0,0,,0,,
2017-01-24,RM,1008,中粮荆州,,0,0,,0,,
2017-01-24,RM,1010,中纺四川,,0,0,,-100,,
2017-01-24,RM,1012,中纺湛江,,0,0,,-50,,
2017-01-24,RM,1013,中粮钦州,,0,0,,-100,,
2017-01-24,RM,1014,厦门银祥,MAR,1681,0,,0,,
2017-01-24,RM,小计,,,1681,0,0,,,
2017-01-24,RM,1015,东莞富之源,,0,0,,0,,
