date,zscore,近五周mean,zscore_minus_近五周mean,wh_factor
2019-11-01,-0.6367572068005716,,,
2019-11-08,-0.6613769116261,,,
2019-11-15,-0.6875722775604624,,,
2019-11-22,-0.7283425087515374,,,
2019-11-29,-0.7283425087515374,,,
2019-12-06,-0.7283425087515374,-0.6884782826980418,-0.0398642260534956,-0.4529511956723207
2019-12-13,-0.4329060508451961,-0.706795343088235,0.2738892922430389,-0.15018791360990214
2019-12-20,-0.2359484122409686,-0.6611011709320541,0.4251527586910855,0.028492056131853072
2019-12-27,-0.2359484122409686,-0.5707763978681555,0.3348279856271868,-0.0076378530937064315
2020-01-03,-0.3344272315430823,-0.4722975785660416,0.1378703470229592,-0.14550820011666568
2020-01-10,-0.2359484122409686,-0.3935145231243506,0.157566110883382,-0.07854260299122835
2020-01-17,-0.238902776820032,-0.2950357038222368,0.0561329270022048,-0.12088849529113728
2020-01-24,-0.3501838426314205,-0.256235049017204,-0.0939487936142164,-0.24768982302453885
2020-02-07,-0.3170949593459103,-0.2790821350952944,-0.0380128242506159,-0.20546210530779252
2020-02-14,-0.4637299212867577,-0.2953114445162828,-0.1684184767704749,-0.3456053434802446
2020-02-21,-0.5477323541514608,-0.3211719824650179,-0.2265603716864429,-0.41926356116545366
2020-02-28,-0.3813031495308885,-0.3835287708471163,0.0022256213162277,-0.227891641192042
2020-03-06,-0.2962174496538622,-0.4120088453892876,0.1157913957354254,-0.13141391149814716
2020-03-13,-0.3716522252392814,-0.4012155667937759,0.0295633415544945,-0.211165998521771
2020-03-20,-0.6617708269033085,-0.4121270199724501,-0.2496438069308583,-0.4969200189143284
2020-03-27,-0.7283425087515374,-0.4517352010957602,-0.2766073076557771,-0.5476484283132332
2020-04-03,-0.4329060508451961,-0.4878572320157756,0.0549511811705795,-0.23776315803888587
2020-04-10,-0.3344272315430823,-0.4981778122786371,0.1637505807355548,-0.13515610663162744
2020-04-17,-0.2359484122409686,-0.5058197686564812,0.2698713564155125,-0.03362050477837614
2020-04-24,-0.2359484122409686,-0.4786790060568185,0.2427305938158499,-0.044476809818241175
2020-05-01,-0.3344272315430823,-0.3935145231243506,0.0590872915812682,-0.17702142229334208
2020-05-08,-0.4329060508451961,-0.3147314676826596,-0.1181745831625364,-0.30701346377213223
2020-05-15,-0.2359484122409686,-0.3147314676826596,0.078783055441691,-0.11005582516790474
2020-05-22,-0.2386073403621256,-0.2950357038222368,0.0564283634601112,-0.12059305883323088
2020-05-29,-0.2590909347769653,-0.2955674894464682,0.0364765546695029,-0.140863938998378
2020-06-05,-0.2689388167071767,-0.3001959939536676,0.0312571772464909,-0.14886041912570963
2020-06-12,-0.292573733339684,-0.2870983109864865,-0.0054754223531974,-0.17773440894508935
2020-06-19,-0.4658964553114042,-0.259031847485384,-0.2068646078260201,-0.3622837163172506
2020-06-26,-0.4388147800033229,-0.3050214560994712,-0.1337933239038518,-0.31680619756353445
2020-07-03,0.1214312230064022,-0.3450629440277106,0.4664941670341129,0.2594564006174865
2020-07-10,0.0028627245666572,-0.2689585124710371,0.2718212370376944,0.11044612955507209
2020-07-17,-0.3712583099620729,-0.2145982042162703,-0.1566601057458025,-0.2854190282755647
2020-07-24,-0.7142600375913352,-0.2303351195407481,-0.483924918050587,-0.6221259897750359
2020-07-31,-0.4165585668410452,-0.2800078359967343,-0.1365507308443109,-0.3045554324423515
2020-08-07,0.2973143942799774,-0.2755565933642788,0.5728709876442561,0.4075370316256889
2020-08-14,0.2973143942799774,-0.2403799591095637,0.5376943533895412,0.3934663779238029
2020-08-21,0.4154889774425139,-0.1814896251668997,0.5969786026094137,0.48808482750927384
2020-08-28,0.681381789558221,-0.0241401676859823,0.7055219572442034,0.691037856632614
2020-09-04,0.180124599310462,0.2549881977439289,-0.0748635984334668,0.07812932021289049
2020-09-11,0.2054336558711052,0.3743248309742303,-0.1688911751031251,0.05570372348141309
2020-09-18,0.1253703757784867,0.3559486832924559,-0.2305783075139691,-0.017009097538495624
2020-09-25,0.0043399068561889,0.3215598795921578,-0.3172199727359688,-0.12428404498067419
2020-10-02,-0.2981870260399045,0.2393300654748928,-0.5375170915147973,-0.3939190522298616
2020-10-09,-0.5849573478476597,0.0434163023552677,-0.6283736502029275,-0.6023238687897667
2020-10-16,-0.0114167042321492,-0.1096000870763566,0.0981833828442074,0.03242333059839344
2020-10-23,-0.0114167042321492,-0.1529701590970075,0.1415534548648583,0.0497713594066538
2020-10-30,-0.0114167042321492,-0.1803275750991347,0.1689108708669855,0.06071432580750468
2020-11-06,-0.1090092141605439,-0.1834788973168024,0.0744696831562584,-0.03561765523382299
2020-11-13,-0.3339348374465718,-0.1456433349409302,-0.1882915025056415,-0.2756775034701997
2020-11-20,-0.5942143568620585,-0.0954388328607126,-0.4987755240013458,-0.5560388237177734
2020-11-27,-0.7283425087515374,-0.2119983633866945,-0.5163441453648429,-0.6435431633968596
2020-12-04,-0.7283425087515374,-0.3553835242905722,-0.3729589844609652,-0.5861890990353085
2020-12-11,-0.7283425087515374,-0.4987686851944498,-0.2295738235570875,-0.5288350346737574
2020-12-18,-0.7283425087515374,-0.6226353441126485,-0.1057071646388888,-0.47928837110647793
2020-12-25,-0.7283425087515374,-0.7015168783736416,-0.0268256303778957,-0.4477357574020807
2021-01-01,-0.3738187592639279,-0.7283425087515374,0.3545237494876095,-0.0824817557633129
2021-01-08,0.43114710971155,-0.6574377588540155,1.0885848685655657,0.6941222132531564
2021-01-15,0.9398886902262698,-0.425539835161398,1.3654285253876677,1.110104624290829
2021-01-22,0.9398886902262698,-0.0918935953658365,1.0317822855921064,0.9766461283726044
2021-01-29,0.9398886902262698,0.2417526444297248,0.6981360457965449,0.8431876324543798
2021-02-05,0.9398886902262698,0.5753988842252863,0.3644898060009834,0.7097291365361552
2021-02-12,0.2725962106351469,0.8381403741233259,-0.565544163488179,-0.06265993901418351
2021-02-19,-0.0610500291604145,0.8064301943080452,-0.8674802234684598,-0.38362210688363263
2021-02-26,0.9398886902262698,0.6062424504307083,0.3336462397955614,0.6973917100539864
2021-03-05,0.5857588560158686,0.6062424504307083,-0.0204835944148397,0.34326187584358525
2021-03-12,0.4500550430175558,0.5354164835886281,-0.0853614405710723,0.23588844958210453
2021-03-19,-0.1689828151155312,0.4374497541468853,-0.6064325692624166,-0.34396271677428536
2021-03-26,-0.5510806340077327,0.3491339489967497,-0.9002145830044823,-0.6907342136064325
2021-04-02,-0.2851878218920254,0.251127828027286,-0.5363156499193116,-0.3856389531029399
2021-04-09,-0.5510806340077327,0.006112525603627,-0.5571931596113597,-0.5535256442491835
2021-04-16,-0.4624496966358302,-0.2212553724010932,-0.241194324234737,-0.3739475476753929
2021-04-23,0.1579668649674864,-0.4037563203317704,0.5617231852992569,0.3194693931001946
2021-04-30,0.4534033228738277,-0.3383663843151668,0.7917697071889946,0.5887498765998944
2021-05-07,-0.1589379755467156,-0.1374695929388548,-0.0214683826078608,-0.10395013837117367
2021-05-14,0.695168824260517,-0.1122196236697928,0.8073884479303098,0.7400566737284342
2021-05-21,0.695168824260517,0.137030267983857,0.5581385562766599,0.6403567170669742
2021-05-28,0.5425266543422407,0.3685539721631265,0.1739726821791141,0.3951050654769901
2021-06-04,0.4440478350401269,0.4454659300380774,-0.0014180949979504,0.26586146302489594
2021-06-11,0.4292760121448098,0.4435948324713372,-0.0143188203265273,0.251838079156275
2021-06-18,0.1554064156656315,0.5612376300096423,-0.4058312143440108,-0.06908863633822544
2021-06-25,0.2603848370416847,0.4532851482906652,-0.1929003112489805,0.07907077772541862
2021-07-02,0.1131590021850246,0.3663283508468987,-0.253169348661874,-0.033372338153734846
2021-07-09,0.0578139057372367,0.2804548204154555,-0.2226409146782188,-0.054368022428945506
2021-07-16,0.1116818198954929,0.2032080345548775,-0.0915262146593845,0.03039860607354193
2021-07-23,-0.5281350691103401,0.1396891961050141,-0.6678242652153543,-0.5840107475523457
2021-07-30,-0.7283425087515374,0.0029808991498198,-0.7313234079013572,-0.7295348684114653
2021-08-06,-0.4919933424264643,-0.1947645700088245,-0.2972287724176398,-0.4140875144229345
2021-08-13,0.2357651322161563,-0.3157950389311224,0.5515601711472787,0.3620831477886053
2021-08-20,0.6498685673815446,-0.2802047936353385,0.9300733610168832,0.7619504848356801
2021-08-27,0.5860542924737749,-0.1725674441381281,0.758621736611903,0.6550812701290262
2021-09-03,0.685616378788212,0.0502704281786948,0.6353459506095172,0.665508207516734
2021-09-10,0.7261896523406829,0.3330622056866447,0.3931274466540381,0.592964770066025
2021-09-17,0.7247124700511511,0.5766988046400743,0.1480136654110768,0.4940329481951214
