date,dom_basis,dom_basis_1st,dom_basis_2nd,basis_factor,basis_factor_zscore,basis_factor_zscore_近三周mean
2019-11-01,20.67000000000008,-37.0,-118.0,-53.2,-1.0490676647946264,
2019-11-08,-14.0,-34.67000000000007,2.3299999999999272,-27.270000000000078,-0.545656127689093,
2019-11-15,-43.0,-29.0,5.670000000000073,-22.06599999999999,-0.4446243637439619,
2019-11-22,-13.329999999999927,29.67000000000008,58.67000000000007,35.47000000000008,0.6723940010421576,-0.6797827187425605
2019-11-29,-13.329999999999927,0.0,-29.67000000000008,-5.934000000000015,-0.13143366121459543,-0.10596216346363245
2019-12-06,49.0,62.32999999999993,62.32999999999993,62.329999999999934,1.1938607918888446,0.03211199202786674
2019-12-13,64.67000000000007,15.670000000000073,-46.659999999999854,3.204000000000088,0.04597376748075469,0.5782737105721356
2019-12-20,40.0,-24.67000000000008,-40.34000000000015,-27.80400000000009,-0.5560233379017564,0.369466966051668
2019-12-27,60.32999999999993,20.329999999999927,45.0,25.263999999999943,0.4742521519214807,0.2279370738226143
2020-01-03,75.67000000000007,15.340000000000146,-4.989999999999782,11.27400000000016,0.2026467757507779,-0.011932472833173688
2020-01-10,77.0,1.3299999999999272,-14.010000000000218,-1.738000000000102,-0.0499714626147196,0.04029186325683406
2020-01-17,25.0,-52.0,-53.32999999999993,-52.26599999999999,-1.0309347540481328,0.2089758216858463
2020-01-24,67.32999999999993,42.32999999999993,94.32999999999991,52.72999999999992,1.0074839790769223,-0.2927531469706915
2020-02-07,13.0,-54.32999999999993,-96.65999999999984,-62.79599999999991,-1.235366820601208,-0.024474079195310045
2020-02-14,44.0,31.0,85.32999999999993,41.86599999999999,0.796567552578099,-0.41960586519080617
2020-02-21,51.32999999999993,7.329999999999927,-23.67000000000008,1.129999999999927,0.005708610212842615,0.18956157035127108
2020-02-28,18.0,-33.32999999999993,-40.659999999999854,-34.795999999999914,-0.6917677832331027,-0.14436355260342215
2020-03-06,87.0,69.0,102.32999999999991,75.66599999999998,1.4527692476867404,0.03683612651927962
2020-03-13,14.670000000000073,-72.32999999999993,-141.32999999999993,-86.12999999999994,-1.6883789612421862,0.2555700248888268
2020-03-20,43.32999999999993,28.65999999999985,100.98999999999978,43.12599999999984,0.8210295092596608,-0.3091258322628495
2020-03-27,128.0,84.67000000000007,56.01000000000022,78.9380000000001,1.516292678053473,0.195139931901405
2020-04-03,145.67000000000007,17.670000000000073,-67.0,0.7360000000000593,-0.0019406048129774448,0.21631440869031582
2020-04-10,63.32999999999993,-82.34000000000015,-100.01000000000022,-85.87400000000017,-1.6834089129005394,0.7784605275000521
2020-04-17,55.32999999999993,-8.0,74.34000000000015,8.46800000000003,0.1481703865059574,-0.056352279886681345
2020-04-24,69.67000000000007,14.340000000000146,22.340000000000146,15.940000000000149,0.29323367247790555,-0.5123930437358531
2020-05-01,68.67000000000007,-1.0,-15.340000000000146,-3.8680000000000296,-0.09132381795736336,-0.4140016179722255
2020-05-08,35.0,-33.67000000000007,-32.67000000000007,-33.47000000000008,-0.6660244859634592,0.11669341367549986
2020-05-15,17.329999999999927,-17.670000000000073,16.0,-10.93600000000006,-0.22854374639014144,-0.154704877147639
2020-05-22,21.0,3.6700000000000728,21.340000000000146,7.204000000000088,0.12363077281905548,-0.328630683436988
2020-05-29,38.32999999999993,17.329999999999927,13.659999999999854,16.59599999999991,0.30596942135338223,-0.2569791531781817
2020-06-05,50.67000000000007,12.340000000000146,-4.989999999999782,8.87400000000016,0.15605257254779745,0.06701881592743208
2020-06-12,18.329999999999927,-32.340000000000146,-44.68000000000029,-34.80800000000018,-0.6920007542491228,0.19521758890674504
2020-06-19,0.6700000000000728,-17.659999999999854,14.680000000000293,-11.191999999999826,-0.23351379473178815,-0.07665958678264768
2020-06-26,-0.6700000000000728,-1.3400000000001455,16.31999999999971,2.1919999999998256,0.0263265451301595,-0.2564873254777045
2020-07-03,65.32999999999993,66.0,67.34000000000015,66.26800000000003,1.2703141136444036,-0.29972933461691714
2020-07-10,33.67000000000007,-31.65999999999985,-97.65999999999984,-44.85999999999985,-0.8871528086642663,0.3543756213475917
2020-07-17,65.32999999999993,31.65999999999985,63.31999999999971,37.99199999999983,0.7213567429079515,0.1364959500367657
2020-07-24,74.0,8.670000000000073,-22.98999999999978,2.338000000000102,0.02916102582501285,0.368172682629363
2020-07-31,90.67000000000009,16.670000000000073,8.0,14.93600000000006,0.27374176413799034,-0.045545013310433945
2020-08-07,78.0,-12.670000000000073,-29.340000000000146,-16.00400000000009,-0.32693517215376905,0.34141984429031824
2020-08-14,-9.0,-87.0,-74.32999999999993,-84.466,-1.656073647021454,-0.008010794063588603
2020-08-21,13.670000000000073,22.67000000000008,109.67000000000009,40.07000000000008,0.7616995571812035,-0.5697556850124109
2020-08-28,64.67000000000007,51.0,28.329999999999927,46.466,0.885873108717145,-0.4071030873313399
2020-09-04,67.32999999999993,2.6599999999998545,-48.34000000000015,-7.5400000000001475,-0.16261294885792577,-0.002833660374368533
2020-09-11,88.0,20.67000000000008,18.01000000000022,20.138000000000105,0.37473469958045136,0.4949865723468076
2020-09-18,94.67000000000009,6.670000000000073,-14.0,2.5360000000000587,0.03300504758925789,0.36599828647989013
2020-09-25,80.67000000000007,-14.0,-20.67000000000008,-15.334000000000016,-0.31392762375960226,0.08170893277059449
2020-10-02,55.0,-25.67000000000008,-11.670000000000073,-22.87000000000008,-0.46023342181696214,0.03127070780336899
2020-10-09,102.67000000000009,47.67000000000007,73.34000000000015,52.80400000000009,1.0089206336756842,-0.24705199932910218
2020-10-16,160.0,57.32999999999993,9.659999999999854,47.79599999999992,0.9116940629921285,0.07825319603303989
2020-10-23,105.32999999999991,-54.67000000000007,-112.0,-66.13600000000007,-1.3002104200586921,0.4867937582836168
2020-10-30,68.0,-37.32999999999993,17.340000000000146,-26.39599999999992,-0.5286880720226712,0.20680142553637348
2020-11-06,156.0,88.0,125.32999999999991,95.466,1.8371714241113295,-0.30573480969641165
2020-11-13,83.0,-73.0,-161.0,-90.6,-1.7751606647077383,0.002757644009988717
2020-11-20,142.32999999999993,59.32999999999993,132.32999999999993,73.92999999999992,1.4190661073699167,-0.15555910420636
2020-11-27,176.0,33.67000000000007,-25.65999999999985,21.80400000000009,0.4070788423038534,0.4936922889245026
2020-12-04,188.67000000000007,12.670000000000073,-21.0,5.93600000000006,0.09901350212681359,0.016994761655343932
2020-12-11,124.0,-64.67000000000007,-77.34000000000015,-67.2040000000001,-1.320944840484019,0.641719483933528
2020-12-18,212.0,88.0,152.67000000000007,100.93400000000004,1.9433285504087876,-0.2716174986844507
2020-12-25,229.0,17.0,-71.0,-0.5999999999999996,-0.02787804459597105,0.24046573735052737
2021-01-01,299.6700000000001,70.67000000000007,53.67000000000007,67.27000000000007,1.2897671934816488,0.19816855510959916
2021-01-08,219.33,-80.34000000000015,-151.01000000000022,-94.47400000000016,-1.8503714743778858,1.0684058997648218
2021-01-15,297.3299999999999,78.0,158.34000000000017,94.06800000000004,1.8100303007455942,-0.1961607751640694
2021-01-22,255.33,-42.0,-120.0,-57.6,-1.1344903706667573,0.41647533994978564
2021-01-29,148.67000000000007,-106.65999999999984,-64.65999999999985,-98.25999999999983,-1.9238738299305813,-0.3916105147663496
2021-02-05,199.0,50.32999999999993,156.98999999999978,71.6619999999999,1.3750345853430999,-0.41611129995058144
2021-02-12,152.0,-47.0,-97.32999999999991,-57.06599999999999,-1.1241231604540938,-0.561109871751413
2021-02-19,120.32999999999991,-31.67000000000008,15.329999999999927,-22.27000000000008,-0.4485848710162171,-0.5576541350138584
2021-02-26,161.32999999999993,41.0,72.67000000000007,47.33400000000002,0.9027246788755566,-0.06589114870907033
2021-03-05,86.0,-75.32999999999993,-116.32999999999991,-83.52999999999993,-1.6379019077722905,-0.2233277841982514
