date,dom_basis,dom_basis_1st,dom_basis_2nd,basis_factor,basis_factor_zscore,basis_factor_zscore_近三周mean
2019-11-01,-140.0,-24.40000000000009,-22.40000000000009,-24.00000000000009,-0.716527222632976,
2019-11-08,-151.4000000000001,-11.400000000000093,13.0,-6.520000000000074,-0.1740527182985541,
2019-11-15,-159.5999999999999,-8.199999999999818,3.200000000000273,-5.9199999999998,-0.15543231197127713,
2019-11-22,-180.0,-20.40000000000009,-12.200000000000273,-18.76000000000013,-0.5539090073748325,-0.3486707509676024
2019-11-29,-193.4000000000001,-13.400000000000093,7.0,-9.320000000000077,-0.26094794782580705,-0.2944646792148879
2019-12-06,-190.4000000000001,3.0,16.40000000000009,5.680000000000019,0.2045622103559077,-0.32342975572397226
2019-12-13,-195.5999999999999,-5.199999999999818,-8.199999999999818,-5.799999999999818,-0.15170823070582398,-0.20343158161491062
2019-12-20,-181.5999999999999,14.0,19.19999999999981,15.039999999999964,0.4950405490612941,-0.06936465605857445
2019-12-27,-174.5999999999999,7.0,-7.0,4.2,0.15863187474864487,0.18263150957045926
2020-01-03,-144.4000000000001,30.19999999999981,23.19999999999981,28.79999999999982,0.9220685341666466,0.16732139770137167
2020-01-10,-134.4000000000001,10.0,-20.19999999999981,3.960000000000037,0.15118371221773863,0.5252469859921952
2020-01-17,-133.0,1.400000000000091,-8.599999999999909,-0.5999999999999093,0.009668624130499933,0.41062804037767675
2020-01-24,-135.0,-2.0,-3.400000000000091,-2.2800000000000185,-0.04246851358585517,0.3609736235049617
2020-02-07,-215.5999999999999,-80.59999999999991,-78.59999999999991,-80.19999999999992,-2.460638615287117,0.0394612742541278
2020-02-14,-211.5999999999999,4.0,84.59999999999991,20.119999999999983,0.6526933226321678,-0.8311461682474909
2020-02-21,-208.5999999999999,3.0,-1.0,2.2,0.09656385365774998,-0.6168046020802681
2020-02-28,-193.5999999999999,15.0,12.0,14.4,0.4751787823122089,-0.5704604796657332
2020-03-06,-213.5999999999999,-20.0,-35.0,-23.0,-0.6854932120875257,0.40814531953404215
2020-03-13,-232.0,-18.40000000000009,1.599999999999909,-14.400000000000093,-0.4186007213966806,-0.03791685870585567
2020-03-20,-242.4000000000001,-10.400000000000093,8.0,-6.720000000000075,-0.18025952040764362,-0.2096383837239992
2020-03-27,-254.4000000000001,-12.0,-1.599999999999909,-9.919999999999984,-0.27956835415307263,-0.42811781796395004
2020-04-03,-242.5999999999999,11.800000000000182,23.800000000000185,14.200000000000182,0.468971980203125,-0.292809531985799
2020-04-10,-245.5999999999999,-3.0,-14.800000000000182,-5.360000000000037,-0.1380532660658339,0.0030480352141361764
2020-04-17,-150.5999999999999,95.0,98.0,95.6,2.9951404386025415,0.01711678666140608
2020-04-24,-94.40000000000008,56.19999999999982,-38.80000000000018,37.19999999999982,1.1827542227484051,1.1086863842466108
2020-05-01,-52.59999999999991,41.80000000000018,-14.399999999999636,30.56000000000022,0.9766883927266465,1.3466137984283708
2020-05-08,-24.40000000000009,28.19999999999981,-13.600000000000364,19.83999999999978,0.6440037996794362,1.7181943513591975
2020-05-15,32.0,56.40000000000009,28.20000000000028,50.76000000000013,1.6035754057446823,0.9344821383848293
2020-05-22,42.40000000000009,10.400000000000093,-46.0,-0.8799999999999262,0.0009791011777741214,1.074755866050255
2020-05-29,45.40000000000009,3.0,-7.400000000000091,0.9199999999999822,0.05684032015957669,0.7495194355339643
2020-06-05,19.0,-26.40000000000009,-29.40000000000009,-27.00000000000009,-0.8096292542693183,0.5537982756940111
2020-06-12,11.599999999999907,-7.400000000000091,19.0,-2.1200000000000725,-0.037503071898585254,-0.25060327764398915
2020-06-19,-11.0,-22.59999999999991,-15.199999999999818,-21.11999999999989,-0.6271492722620812,-0.26343066866944226
2020-06-26,10.400000000000093,21.40000000000009,44.0,25.920000000000076,0.8326905837957659,-0.4914271994766615
2020-07-03,2.599999999999909,-7.800000000000182,-29.20000000000028,-12.0800000000002,-0.34660181693124587,0.05601274654503315
2020-07-10,40.59999999999991,38.0,45.80000000000018,39.56000000000004,1.255994487635668,-0.04702016846585372
2020-07-17,127.59999999999992,87.0,49.0,79.4,2.4923894677662934,0.5806944181667293
