date,dom_basis,dom_basis_1st,dom_basis_2nd
2019-05-17,-198.32999999999993,-46.32999999999993,-58.32999999999993
2019-05-24,-141.67000000000007,56.659999999999854,102.98999999999978
2019-05-31,-307.6700000000001,-166.0,-222.65999999999985
2019-06-07,-252.67000000000007,55.0,221.0
2019-06-14,-132.32999999999993,120.34000000000015,65.34000000000015
2019-06-21,-158.67000000000007,-26.340000000000146,-146.6800000000003
2019-06-28,-250.0,-91.32999999999993,-64.98999999999978
2019-07-05,23.329999999999927,273.3299999999999,364.65999999999985
2019-07-12,-84.32999999999993,-107.65999999999985,-380.9899999999998
2019-07-19,-66.32999999999993,18.0,125.65999999999985
2019-07-26,24.670000000000073,91.0,73.0
2019-08-02,39.0,14.329999999999927,-76.67000000000007
2019-08-09,109.0,70.0,55.67000000000007
2019-08-16,140.0,31.0,-39.0
2019-08-23,14.329999999999927,-125.67000000000007,-156.67000000000007
2019-08-30,-39.67000000000007,-54.0,71.67000000000007
2019-09-06,-7.329999999999927,32.340000000000146,86.34000000000015
2019-09-13,-34.32999999999993,-27.0,-59.340000000000146
2019-09-20,-48.67000000000007,-14.340000000000146,12.659999999999854
2019-09-27,-64.67000000000007,-16.0,-1.6599999999998545
2019-10-04,-216.32999999999993,-151.65999999999985,-135.65999999999985
2019-10-11,-123.67000000000007,92.65999999999985,244.3199999999997
2019-10-18,-194.32999999999993,-70.65999999999985,-163.3199999999997
2019-10-25,-428.6700000000001,-234.34000000000015,-163.6800000000003
2019-11-01,-298.6700000000001,130.0,364.34000000000015
2019-11-08,-322.6700000000001,-24.0,-154.0
2019-11-15,-310.3299999999999,12.340000000000146,36.340000000000146
2019-11-22,-309.0,1.3299999999999272,-11.010000000000218
2019-11-29,-316.0,-7.0,-8.329999999999927
2019-12-06,-395.6700000000001,-79.67000000000007,-72.67000000000007
2019-12-13,-291.6700000000001,104.0,183.67000000000007
2019-12-20,-329.3299999999999,-37.659999999999854,-141.65999999999985
2019-12-27,-292.0,37.32999999999993,74.98999999999978
2020-01-03,-220.0,72.0,34.67000000000007
2020-01-10,-41.0,179.0,107.0
2020-01-17,-98.0,-57.0,-236.0
