date,roll_yield,roll_yield_1st,roll_yield_2nd
2017-01-03,0.124263931106207,,
2017-01-04,0.111163874596253,-0.013100056509953995,
2017-01-05,0.0577149499060655,-0.0534489246901875,-0.040348868180233505
2017-01-06,0.0780510559223348,0.020336106016269298,0.0737850307064568
2017-01-09,0.0719791718373885,-0.0060718840849463,-0.026407990101215598
2017-01-10,0.0593128783546876,-0.012666293482700902,-0.0065944093977546026
2017-01-11,0.0130719161068668,-0.0462409622478208,-0.0335746687651199
2017-01-12,-0.016146667824108,-0.0292185839309748,0.017022378316846002
2017-01-13,-0.0166740227393022,-0.0005273549151941989,0.0286912290157806
2017-01-16,-0.0161914184879554,0.0004826042513467986,0.0010099591665409975
2017-01-17,-0.0179628137972573,-0.0017713953093018986,-0.002253999560648697
2017-01-18,-0.0178533076435021,0.00010950615375519834,0.001880901463057097
2017-01-19,-0.0094258860747758,0.008427421568726301,0.008317915414971103
2017-01-20,-0.0156567476273754,-0.0062308615525996005,-0.014658283121325902
2017-01-23,-0.0103911202169971,0.005265627410378301,0.011496488962977901
2017-01-24,-0.0116254182077839,-0.0012342979907868003,-0.006499925401165101
2017-01-25,-0.0124811886506659,-0.0008557704428820007,0.0003785275479047997
2017-01-26,-0.0168285230922633,-0.004347334441597399,-0.003491563998715398
2017-02-03,-0.016379351032704,0.0004491720595592996,0.0047965065011566985
2017-02-06,-0.0163277401039525,5.161092875149986e-05,-0.00039756113080779976
2017-02-07,-0.017590325690997,-0.0012625855870445,-0.0013141965157959998
2017-02-08,-0.0249428042346792,-0.007352478543682199,-0.006089892956637699
2017-02-09,-0.0307295480597694,-0.0057867438250902015,0.0015657347185919976
2017-02-10,-0.0315314975285591,-0.0008019494687896978,0.004984794356300504
2017-02-13,-0.0300560693494484,0.0014754281791106993,0.002277377647900397
2017-02-14,-0.0284976236146284,0.0015584457348199986,8.301755570929922e-05
2017-02-15,-0.0344655866681612,-0.0059679630535327995,-0.007526408788352798
2017-02-16,-0.0344655866681612,0.0,0.0059679630535327995
2017-02-17,-0.032281829594921,0.0021837570732402,0.0021837570732402
2017-02-20,-0.031861796543765,0.0004200330511559963,-0.0017637240220842038
2017-02-21,-0.0322677529442609,-0.0004059564004958993,-0.0008259894516518956
2017-02-22,-0.0334810345164122,-0.0012132815721512952,-0.0008073251716553959
2017-02-23,-0.0317325279828709,0.0017485065335412983,0.0029617881056925935
2017-02-24,-0.0303277068184187,0.001404821164452199,-0.0003436853690890994
2017-02-27,-0.0325516390148544,-0.0022239321964357024,-0.0036287533608879013
2017-02-28,-0.0322465005600957,0.0003051384547586994,0.002529070651194402
