date,roll_yield,roll_yield_1st,roll_yield_2nd
2017-01-03,-0.0426625238864334,,
2017-01-04,-0.042036085986318,0.0006264379001153994,
2017-01-05,-0.0423798869254029,-0.0003438009390848984,-0.0009702388392002978
2017-01-06,-0.0456155645346857,-0.003235677609282804,-0.0028918766701979057
2017-01-09,-0.0454134571958951,0.00020210733879059972,0.003437784948073404
2017-01-10,-0.0457683295504542,-0.0003548723545590965,-0.0005569796933496962
2017-01-11,-0.0516023701453623,-0.005834040594908101,-0.005479168240349004
2017-01-12,-0.0480709484044713,0.003531421740891001,0.009365462335799102
2017-01-13,-0.0501647457342724,-0.0020937973298011045,-0.005625219070692106
2017-01-16,-0.05664656316399,-0.006481817429717596,-0.004388020099916491
2017-01-17,-0.0546861660794135,0.001960397084576501,0.008442214514294097
2017-01-18,-0.0548862729632447,-0.00020010688383120118,-0.0021605039684077024
2017-01-19,-0.0534462417721711,0.0014400311910735958,0.001640138074904797
2017-01-20,-0.0561381267964624,-0.002691885024291296,-0.004131916215364892
2017-01-23,-0.0480693923164459,0.0080687344800165,0.010760619504307796
2017-01-24,-0.0491639075489192,-0.0010945152324733018,-0.009163249712489802
2017-01-25,-0.0400005926083955,0.0091633149405237,0.010257830172997001
2017-01-26,-0.0442268452116102,-0.0042262526032147,-0.0133895675437384
2017-02-03,-0.0484391007709259,-0.004212255559315696,1.3997043899004191e-05
2017-02-06,-0.042232457096387,0.006206643674538902,0.010418899233854598
2017-02-07,-0.0445681024477776,-0.0023356453513906014,-0.008542289025929503
2017-02-08,-0.0443993648611387,0.00016873758663889932,0.0025043829380295007
2017-02-09,-0.0428354830979499,0.0015638817631888,0.0013951441765499006
2017-02-10,-0.0414944374453854,0.0013410456525645015,-0.00022283611062429848
2017-02-13,-0.040775347386958,0.0007190900584274004,-0.000621955594137101
2017-02-14,-0.0407061876182063,6.915976875169344e-05,-0.000649930289675707
2017-02-15,-0.0386428319386931,0.0020633556795132055,0.001994195910761512
2017-02-16,-0.0452243445812117,-0.0065815126425186055,-0.008644868322031811
2017-02-17,-0.0430453579153852,0.002178986665826506,0.008760499308345111
2017-02-20,-0.0450034603568564,-0.001958102441471203,-0.004137089107297709
2017-02-21,-0.049414118742794,-0.004410658385937599,-0.002452555944466396
2017-02-22,-0.0578863775814715,-0.008472258838677499,-0.0040616004527399
2017-02-23,-0.0526423534164371,0.005244024165034396,0.013716283003711895
2017-02-24,-0.0552815075344967,-0.0026391541180595945,-0.00788317828309399
2017-02-27,-0.0540937406159805,0.0011877669185162004,0.003826921036575795
2017-02-28,-0.0565752400636233,-0.002481499447642803,-0.0036692663661590033
2017-03-01,-0.0555175985931238,0.0010576414704994985,0.0035391409181423014
2017-03-02,-0.059831042902006,-0.004313444308882197,-0.005371085779381696
2017-03-03,-0.0558755407017659,0.003955502200240102,0.008268946509122299
2017-03-06,-0.0608020811996329,-0.004926540497867005,-0.008882042698107107
2017-03-07,-0.0649767988148593,-0.004174717615226392,0.0007518228826406126
2017-03-08,-0.0692211628536984,-0.004244364038839113,-6.964642361272089e-05
2017-03-09,-0.069386979306038,-0.00016581645233959552,0.004078547586499517
2017-03-10,-0.0881734001157773,-0.0187864208097393,-0.018620604357399706
2017-03-13,-0.0893164750010101,-0.0011430748852327977,0.017643345924506504
2017-03-14,-0.0920639344766512,-0.0027474594756411036,-0.001604384590408306
2017-03-15,-0.0918854534853888,0.00017848099126240025,0.002925940466903504
2017-03-16,-0.0937033951852275,-0.0018179416998386905,-0.0019964226911010907
2017-03-17,-0.0924928750129736,0.0012105201722538983,0.0030284618720925888
2017-03-20,-0.0952829896401287,-0.002790114627155102,-0.004000634799409
2017-03-21,-0.0965761114675818,-0.0012931218274531003,0.0014969927997020016
2017-03-22,-0.0890690421170396,0.007507069350542198,0.008800191177995298
2017-03-23,-0.0928866768119006,-0.0038176346948610024,-0.0113247040454032
2017-03-24,-0.0963655118648994,-0.0034788350529987994,0.000338799641862203
2017-03-27,-0.0997321757374632,-0.003366663872563791,0.0001121711804350084
2017-03-28,-0.0999695829866415,-0.0002374072491783119,0.003129256623385479
2017-03-29,-0.0991045681947315,0.0008650147919100071,0.001102422041088319
2017-03-30,-0.0964943219121031,0.0026102462826284034,0.0017452314907183963
2017-03-31,-0.1013773049257866,-0.004882983013683506,-0.00749322929631191
2017-04-05,-0.0970881887228356,0.004289116202950999,0.009172099216634505
2017-04-06,-0.0929303866079952,0.004157802114840403,-0.00013131408811059564
2017-04-07,-0.084278539370182,0.008651847237813204,0.004494045122972801
2017-04-10,-0.0934065599005263,-0.00912802053034431,-0.017779867768157515
2017-04-11,-0.0951705500763812,-0.0017639901758548931,0.0073640303544894176
2017-04-12,-0.0901690796270853,0.0050014704492959,0.006765460625150793
