date,zscore,近五周mean,zscore_minus_近五周mean,wh_factor
2019-11-01,2.377049720874566,,,
2019-11-08,2.364394546720932,,,
2019-11-15,3.327183133173237,,,
2019-11-22,0.0469335539577262,,,
2019-11-29,-0.5687619975617658,,,
2019-12-06,-0.5687619975617658,1.509359791432939,-2.078121788994705,-1.1725059141349417
2019-12-13,-0.5687619975617658,0.9201974477456728,-1.4889594453074384,-0.9368409766600349
2019-12-20,-0.5687619975617658,0.3335661388891331,-0.902328136450899,-0.7021884531174192
2019-12-27,-0.5687619975617658,-0.4456228872578673,-0.1231391103038984,-0.39051284265861885
2020-01-03,-0.5687619975617658,-0.5687619975617658,0.0,-0.3412571985370595
2020-01-10,-0.3732466665365229,-0.5687619975617658,0.1955153310252428,-0.14574186751181661
2020-01-17,0.7631595338661976,-0.5296589313567173,1.2928184652229149,0.9750231064088846
2020-01-24,0.5306740311561816,-0.2632746250711245,0.7939486562273061,0.6359838811846314
2020-02-07,0.8055330383356685,-0.043387419327535,0.8489204576632036,0.8228880060666826
2020-02-14,0.7842040931329147,0.2314715878519518,0.5527325052809628,0.691615457992134
2020-02-21,0.5716256059454689,0.5020648059908879,0.0695607999545809,0.3707996835491137
2020-02-28,0.2609339708253556,0.6910392604872863,-0.4301052896619306,-0.015481733369558909
2020-03-06,0.3291865954741677,0.5905941478791179,-0.2614075524049502,0.0929489363225205
2020-03-13,0.7172312051962678,0.550296660742715,0.1669345444535528,0.4971125408991818
2020-03-20,-0.0197549480428838,0.5326362941148349,-0.5523912421577188,-0.23280946568881783
2020-03-27,-0.2559374679213772,0.3718444858796752,-0.6277819538010525,-0.40467526227324735
2020-04-03,-0.3284558816107401,0.206331871106306,-0.5347877527170461,-0.41098863005326247
2020-04-10,-0.5232602477958911,0.0884539006190868,-0.611714148414978,-0.5586418080435258
2020-04-17,-0.5118848103544225,-0.0820354680349249,-0.4298493423194975,-0.47907062314045246
2020-04-24,-0.5568177882482237,-0.3278586711450629,-0.2289591171031607,-0.4256743197901985
2020-05-01,-0.2852292193331591,-0.4352712391861309,0.1500420198529718,-0.11112072365870673
2020-05-08,1.7053301399558407,-0.4411295894684873,2.146459729424328,1.8817819757432357
2020-05-15,10.997356214019527,-0.0343723851551711,11.0317285991747,11.011105168081597
2020-05-22,15.211671400147631,2.2697509072079125,12.94192049293972,14.303771037264468
2020-05-29,-0.188395808112657,5.414462149308323,-5.60285795742098,-2.3541806678359865
2020-06-05,-0.5687619975617658,5.488146545335438,-6.056908542897204,-2.764020615695941
2020-06-12,0.2019238890977369,5.431439989689715,-5.229516100591979,-1.9706521067781493
2020-06-19,1.3437334222851554,5.130758739518095,-3.7870253172329393,-0.7085700735220826
2020-06-26,1.396344820451948,3.2000341811712203,-1.8036893607192723,0.11633114798345978
2020-07-03,4.709725361215736,0.4369688652320834,4.272756495983653,4.534937815122903
2020-07-10,7.691796286496749,1.4165930990977622,6.275203187398986,7.125159046857643
2020-07-17,10.426167061489782,3.068704755909465,7.3574623055803166,9.198685159125995
2020-07-24,10.567080292795977,5.113553390387874,5.453526902408101,8.521658936640826
2020-07-31,10.751362379347766,6.958222764490039,3.793139614857728,7.9680732735517505
2020-08-07,10.778236850303236,8.829226276269202,1.949010574034034,7.246546339795555
2020-08-14,11.542666246369931,10.042928574086702,1.4997376722832296,7.52549481673525
2020-08-21,12.284771346457743,10.813102566061335,1.4716687803964064,7.959530320033209
2020-08-28,12.286619855041982,11.184823423054931,1.1017964319870508,7.812690485820009
