date,zscore,近五周mean,zscore_minus_近五周mean,basis_factor
2019-11-01,0.5356141406186946,,,
2019-11-08,0.1624707039088875,,,
2019-11-15,-0.1496481211440222,,,
2019-11-22,0.169681725039421,,,
2019-11-29,0.169681725039421,,,
2019-12-06,0.8405219445410708,0.1775600346924804,0.6629619098485904,0.7694979306640786
2019-12-13,1.0091737372506957,0.2385415954769556,0.7706321417737401,0.9137570990599135
2019-12-20,0.7436574815936161,0.4078822021453172,0.3357752794482989,0.5805046007354893
2019-12-27,0.9624635406738103,0.5865433226928449,0.3759202179809654,0.7278462115966723
2020-01-03,1.1275636364086958,0.7450996858197227,0.3824639505889731,0.8295237620808068
2020-01-10,1.141878051488708,0.9366760680935776,0.2052019833951303,0.7672076242512769
2020-01-17,0.5822167100145248,0.9969472894831052,-0.4147305794685804,0.1834377942212827
2020-01-24,1.0378025674107196,0.9115558840358708,0.1262466833748488,0.6731802137963713
2020-02-07,0.4530640927512518,0.9703849011992915,-0.5173208084480398,0.06491013227153514
2020-02-14,0.7867083540147071,0.8685050116147799,-0.0817966576000728,0.4393063493687951
2020-02-21,0.8655990777263556,0.8003339551359823,0.0652651225903733,0.5454654956719627
2020-02-28,0.5068776832776155,0.7450781603835118,-0.2382004771058963,0.20884641912421079
2020-03-06,1.2495052325414353,0.7300103550361299,0.5194948775053054,0.9575010905269833
2020-03-13,0.471037831987058,0.7723508880622731,-0.3013130560752151,0.16209747676214878
2020-03-20,0.7794973328841736,0.7759456359094343,0.0035516969747392,0.46911907852039975
2020-03-27,1.6907766748576183,0.7745034316833277,0.9162732431742906,1.3809753021842872
2020-04-03,1.8809539037777885,0.9395389511095802,0.9414149526682084,1.5051383233339566
2020-04-10,0.9947516949896286,1.2143541952096146,-0.219602500219986,0.5090100169057826
2020-04-17,0.9086499501474464,1.1634034876992534,-0.2547535375518068,0.4432885550677451
2020-04-24,1.0629873277770594,1.2509259113313311,-0.1879385835542717,0.562616963244527
2020-05-01,1.0522246096717869,1.3076239103099083,-0.2553993006381216,0.5291750455478235
2020-05-08,0.6898438910672523,1.179913497272742,-0.4900696062054895,0.21787849215815555
2020-05-15,0.499666662147082,0.9416914947306348,-0.4420248325835527,0.12299006425482811
2020-05-22,0.5391658375934338,0.8426744881621253,-0.3035086505686915,0.2020960423285837
2020-05-29,0.7256837423578097,0.7687776656513228,-0.043093923293513,0.4181726760972806
2020-06-05,0.8584956837768771,0.701316948567473,0.1571787352094041,0.5779689043498879
