date,zscore,近五周mean,zscore_minus_近五周mean,basis_factor
2019-11-01,-0.9795247299288556,,,
2019-11-08,-1.1017011117672308,,,
2019-11-15,-1.1895823688790417,,,
2019-11-22,-1.4082137890108704,,,
2019-11-29,-1.5518246238033462,,,
2019-12-06,-1.519672944372195,-1.2461693246778691,-0.2735036196943259,-1.0212052145010473
2019-12-13,-1.575402522052855,-1.354198967566537,-0.221203554486318,-1.03372293502624
2019-12-20,-1.42536135137415,-1.4489392496236615,0.0235778982495116,-0.8457856515246854
2019-12-27,-1.3503407660347972,-1.4960950461226834,0.1457542800878861,-0.7519027475857238
2020-01-03,-1.0266805264278782,-1.4845204415274686,0.4578399150995904,-0.4328723498168907
2020-01-10,-0.9195082616573746,-1.379491622052375,0.4599833603950003,-0.3677116128364246
2020-01-17,-0.9045041445895032,-1.259458685509411,0.3549545409199078,-0.4007206703857388
2020-01-24,-0.925938597543604,-1.125279010016741,0.1993404124731368,-0.4758269935369076
2020-02-07,-1.789747051593862,-1.0253944592506314,-0.7643525923432306,-1.3795892678936093
2020-02-14,-1.7468781456856608,-1.1132757163624445,-0.6336024293232165,-1.3015678591406832
2020-02-21,-1.7147264662545096,-1.2573152402140009,-0.4574112260405087,-1.2118003701689093
2020-02-28,-1.5539680690987543,-1.4163588811334278,-0.1376091879653265,-0.9874245166453831
2020-03-06,-1.7683125986397614,-1.546251666035278,-0.2220609326044833,-1.1498119322256501
2020-03-13,-1.965509565817489,-1.71472646625451,-0.2507830995629792,-1.279618979315685
2020-03-20,-2.076968721178814,-1.749878969099235,-0.327089752079579,-1.37701713353912
2020-03-27,-2.205575438903418,-1.8158970841978657,-0.3896783547055524,-1.4792166052242717
2020-04-03,-2.079112166474222,-1.914066878727648,-0.1650452877465742,-1.3134854149831627
2020-04-10,-2.111263845905373,-2.019095698202741,-0.0921681477026319,-1.3036255666242766
2020-04-17,-1.0931273305855884,-2.087685947655863,0.9945586170702748,-0.2580529515232431
2020-04-24,-0.49081920257536,-1.913209500609483,1.4223902980341228,0.2744645976684331
2020-05-01,-0.0428391358346531,-1.5959795968887922,1.553140461054139,0.5955527029208638
2020-05-08,0.2593866508181651,-1.1634323362750394,1.4228189870932044,0.7247595853281809
2020-05-15,0.8638382241238064,-0.695732572816562,1.5595707969403685,1.1421312532504313
2020-05-22,0.9752973794851312,-0.100712158810726,1.0760095382958572,1.0155822430094217
2020-05-29,1.0074490589162823,0.3129727832034178,0.6944762757128644,0.8822599456349152
2020-06-05,0.7245142799221518,0.6126264355017463,0.1118878444204054,0.4794637057214532
2020-06-12,0.645206803991978,0.7660971186531074,-0.1208903146611293,0.3387679565307351
2020-06-19,0.4029974856106409,0.8432611492878699,-0.4402636636772289,0.06569302589549297
2020-06-26,0.6323461322195196,0.7510930015852368,-0.1187468693657172,0.3319089315854249
2020-07-03,0.5487517656985248,0.6825027521321145,-0.1337509864335897,0.275750664845679
2020-07-10,0.9560063718264386,0.5907632934885629,0.3652430783378756,0.7197010544310134
2020-07-17,1.88840507532982,0.6370617118694204,1.2513433634603996,1.6335803905820518
2020-07-24,2.2099218696413305,0.8857013661369887,1.3242205035043415,1.8556413231865347
2020-07-31,1.9141264188747416,1.2470862429431266,0.6670401759316149,1.415291921697491
2020-08-07,2.520721437475791,1.503442300274171,1.01727913720162,1.9193445173661225
2020-08-14,1.8391058335353887,1.8978362346296245,-0.0587304010942353,1.079971339683539
2020-08-21,0.7566659593533028,2.0744561269714143,-1.3177901676181114,-0.07311649143526289
2020-08-28,-0.0728473699703961,1.848108303776111,-1.9209556737465072,-0.8120906914808406
2020-09-04,0.2143742996145555,1.3915544558537658,-1.1771801562392104,-0.3422474827269508
2020-09-11,-0.9752378393380344,1.0516040320017286,-2.026841871339763,-1.3958794521387259
2020-09-18,-1.811181504547963,0.3524121766389633,-2.163593681186926,-1.9521463752035482
2020-09-25,-1.8969193163643656,-0.377645290977707,-1.5192740253866588,-1.745861199973283
2020-10-02,-1.1467134629708404,-0.9083623461212408,-0.2383511168495996,-0.7833685245223441
2020-10-09,-1.2153037124239636,-1.1231355647213297,-0.0921681477026339,-0.7660494865354317
2020-10-16,-0.8144794421822793,-1.4090711671290337,0.5945917249467544,-0.2508509753306658
2020-10-23,-1.4510826949190716,-1.3769194876978823,-0.0741632072211893,-0.9003148998399186
2020-10-30,-1.018106745246236,-1.3048997257721042,0.2867929805258682,-0.4961468549373943
2020-11-06,-1.018106745246236,-1.129137211548478,0.1110304663022421,-0.5664518606268447
2020-11-13,-0.2014540876950004,-1.1034158680035575,0.9019617803085572,0.23991225950642264
2020-11-20,0.2036570731375051,-0.9006459430577646,1.1043030161952698,0.5639154503606111
2020-11-27,-0.4329461795992873,-0.6970186399938079,0.2640724603945206,-0.15413872360176412
2020-12-04,-0.100712158810726,-0.4933913369298509,0.3926791781191248,0.09664437596121433
2020-12-11,0.9452891453493882,-0.3099124196427489,1.255201564992137,1.0692541132064877
2020-12-18,-0.1071424946969553,0.0827667584763759,-0.1899092531733312,-0.1402491980875057
2020-12-25,-0.9409427146114754,0.1016290770759849,-1.0425717916874604,-0.9815943454418694
2021-01-01,-3.3051628754487843,-0.1272908804738111,-3.177871994974973,-3.25424652325926
2021-01-08,-2.9086254957979207,-0.7017342196437106,-2.2068912761542103,-2.6279318079404366
2021-01-15,-2.9236296128657924,-1.2633168870411495,-1.6603127258246428,-2.4183028580493326
2021-01-22,-1.5689721861666257,-2.0371006386841857,0.4681284525175599,-0.7541319306929514
2021-01-29,-0.7544629739107981,-2.3294665769781195,1.5750036030673216,0.17732365688044988
2021-02-05,-0.4072248360543654,-2.2921706288379844,1.8849457927836188,0.5096434154808283
2021-02-12,-0.0321219093576027,-1.7125830209591004,1.6804611116014976,0.6529112990260375
2021-02-19,0.5144566409719656,-1.1372823036710369,1.6517389446430024,0.9693695624403804
2021-02-26,1.89912230180687,-0.4496650529034852,2.3487873547103555,2.0789883229682644
2021-03-05,0.8702685600100356,0.2439538446912139,0.6263147153188218,0.77268702213355
2021-03-12,-0.012830901698915,0.5689001514753806,-0.5817310531742957,-0.2403909622890673
2021-03-19,-0.6151390297091434,0.6477789383464707,-1.2629179680556142,-0.8742506050477317
2021-03-26,-0.0771342605612172,0.5311755142761625,-0.6083097748373797,-0.28960446627168224
2021-04-02,-0.0556998076071165,0.4128573339695259,-0.4685571415766424,-0.22084274119492686
2021-04-09,-0.0342653546530157,0.0218929120867286,-0.0561582667397444,-0.04302251948770718
2021-04-16,0.171505393706354,-0.1590138708458816,0.3305192645522357,0.23511094204470667
2021-04-23,0.169361948410941,-0.1221466117648277,0.2915085601757688,0.21822059311687214
2021-04-30,1.444711899179934,0.0347535838591891,1.409958315320745,1.4308104656362581
2021-05-07,2.0663110348488547,0.3391228158074194,1.7271882190414354,1.930661908525887
2021-05-14,5.056417221945906,0.7635249842986136,4.292892237647292,4.75100722822646
2021-05-21,1.8905485206252328,1.781661499618398,0.1088870210068349,1.1778839207778735
2021-05-28,-0.5465487802560203,2.125470125002173,-2.6720189052581937,-1.3967368302568897
2021-06-04,-0.1778761894454867,1.9822879792687813,-2.1601641687142683,-0.9707913811529993
2021-06-11,-0.1843065253317208,1.657770361543697,-1.8420768868754176,-0.8474146699491996
2021-06-18,-0.810192551591458,1.2076468495075825,-2.01783940109904,-1.293251291394491
2021-06-25,1.0224531759841538,0.0343248948001094,0.9881282811840444,1.0087232180641101
2021-07-02,0.7502356234670687,-0.1392941741281064,0.8895297975951751,0.8059532931183113
2021-07-09,1.262519049070078,0.1200627066165113,1.1424563424535663,1.2144939664234733
2021-07-16,2.6214633663600653,0.4081417543196243,2.213321612040441,2.4582066646322156
2021-07-23,1.809097599399646,0.9692957326579816,0.8398018667416646,1.4213793063364535
2021-07-30,-0.930225488134425,1.4931537628562024,-2.423379250990627,-1.5274869932769057
2021-08-06,-2.432780640216884,1.1026180300324868,-3.5353986702493705,-2.8738278522298786
