date,今值
2017-12-31,0.0
2018-01-31,0.3
2018-02-28,0.6
2018-03-31,1.2
2018-04-30,-1.1
2018-05-31,-0.2
2018-06-30,-0.2
2018-07-31,-0.1
2018-08-31,0.3
2018-09-30,0.7
2018-10-31,0.7
2018-11-30,0.2
2018-12-31,-0.3
2019-01-31,0.0
2019-02-28,0.5
2019-03-31,1.0
2019-04-30,-0.4
2019-05-31,0.1
2019-06-30,0.0
2019-07-31,-0.1
2019-08-31,0.4
2019-09-30,0.7
2019-10-31,0.9
2019-11-30,
2019-12-31,0.4
2020-01-31,0.0
2020-02-29,1.4
2020-03-31,0.8
2020-04-30,-1.2
2020-05-31,-0.9
2020-06-30,-0.8
